			Used Cards
			27
Used	Card Text to Display	Card Name	
	You may say "Ach! Hans, run! It's the . . ." and name a creature card. If you do, search your library for the named card, put it onto the battlefield, then shuffle your library. That creature has haste. Exile it at end of combat.	"Ach! Hans, Run!"	
	Target permanent you control's name becomes the name of your choice until the end of combat.	________________	
	Discard 1d6 cards. Look at target opponent's hand and choose 1d6 cards from it. That player discards those cards.	Abandon Hope	
	Sacrifice a land. Add one mana of any color to your mana pool.	Abandoned Outpost	
	Create a 3/4 white Gargoyle creature token with flying and protection from red. Blockers may be reassigned.	Abbey Gargoyles	
	Target untapped creature gets +0/+3 this turn.	Abbey Matron	
	Untap target creature. You control that creature. When that creature is put into a graveyard, return that card to play under its owner's control.	Abduction	
	The active player can't play instants or activated abilities that aren't mana abilities this combat. This effect may not be responded to. Draw a card.	Abeyance	
	Sacrifice a blue permanent. Target player discards a card at random.	Abjure	
	Discard a land card. Destroy target artifact or enchantment.	Abolish	
	Whenever target creature in combat blocks or becomes blocked by a green or white creature this combat, destroy the other creature at end of combat.	Abomination	
	Put 1d6 -1/-1 counters on target untapped creature.	Aboroth	
	Tap target permanent. Tap all creatures without flying.	Aboshan, Cephalid Emperor	
	Target creature you control has flying this combat. Threshold - That creature also has shroud this combat.	Aboshan's Desire	
	Switch target creature's power and toughness this combat.	About Face	
	All creatures have protection from black this combat.	Absolute Grace	
	All creatures have protection from red this combat.	Absolute Law	
	Whenever a creature is put into a graveyard this combat, destroy target enchantment.	Absolver Thrull	
	Put the last permanent played into its owners graveyard. You gain 3 life.	Absorb	
	Whenever a creature dies this turn, destroy all creatures blocking or blocked by it. They can't be regenerated.	Abu Ja'far	
	Choose one - You gain 5 life; or prevent the next 5 damage that would be dealt to target creature this turn. Entwine 2 (Choose both if you pay the entwine cost.)	Abuna's Chant	
	Choose land or nonland and reveal cards from the top of your library until you reveal a card of the chosen kind. Put that card into your hand and put all other cards revealed this way on the bottom of your library in any order.	Abundance	
	Whenever a creature you control is put into a graveyard from play this combat, each player removes a creature he or she controls from the game.	Abyssal Gatekeeper	
	If you control a creature, target player of your choice discards two cards.	Abyssal Horror	
	Tap a creature you control. Tap target creature. Chaos deals damage equal to the power of your tapped creature to the other creature.	Abyssal Hunter	
	Whenever target creature controlled by the active player attacks and isn't blocked this combat, defending player discards a card.	Abyssal Nightstalker	
	Target player discards a card. Target creature controlled by the active player gets +2/+2 and gains fear this turn.	Abyssal Nocturnus	
	Whenever target untapped creature controlled by the active player deals damage to a player this combat, that player discards a card.	Abyssal Specter	
	If a creature you control is put into a graveyard from play this combat, you may remove it from the game. If you do, search your library for an enchantment card and put that card onto the battlefield. Then shuffle your library.	Academy Rector	
	You may put an Aura card from your hand onto the battlefield attached to a creature you control.	Academy Researchers	
	Put target artifact card in your graveyard on top of your library.	Academy Ruins	
	Put a creature card from your hand onto the battlefield. It has haste and may be added to combat. Draw a card.	Accelerate	
	Target creature in combat gets +X/+X this turn, where X is the highest converted mana cost among permanents you control.	Accelerated Mutation	
	Discard a card at random. Chaos deals 5 damage to target creature in combat.	Acceptable Losses	
	Draw a card, then draw 1d3-1 cards.	Accumulated Knowledge	
	Sacrifice a creature.	Accursed Centaur	
	Destroy all Forests.	Acid Rain	
	Whenever target creature in combat deals combat damage to a non-Wall creature this combat, destroy that non-Wall creature. If the targeted creature leaves play this combat, its controller sacrifices a permanent.	Acidic Dagger	
	Sacrifice a creature in combat. That creature deals 2 damage to target creature in combat or player.	Acidic Sliver	
	Chaos deals damage to each player equal to the number of lands he or she controls.	Acidic Soil	
	Create two 1/1 green Squirrel creature tokens. Blockers may be reassigned.	Acorn Harvest	
	Search target opponent's library for an artifact card and put that card onto the battlefield. Then that player shuffles his or her library.	Acquire	
	Pay the casting cost of a non-token creature you control in combat or sacrifice that creature.	Acridian	
	Choose one - Destroy target blue permanent; or return target Island to its owner's hand.	Active Volcano	
	Target creature in combat has power and toughness each equal to the number of cards in the hand of the player with the most cards in hand.	Adamaro, First to Desire	
	Target creature you control in combat gets +0/+1 this turn for each land you control.	Adarkar Sentinel	
	Add either U or 1U to your mana pool.	Adarkar Unicorn	
	Target creature you control in combat has flying and vigilance. If a creature other than the targeted creature is put into a graveyard this combat, return that card to play under your control.	Adarkar Valkyrie	
	Target creature in combat loses flying this combat.	Adarkar Windform	
	Clash with an opponent. If you win, put a +1/+1 counter on target creature you control in combat.	Adder-Staff Boggart	
	Roll 1d6. 1-Colorless, 2-Black, 3-Blue, 4-Green, 5-Red, 6-White. Target player reveals his or her hand, then you choose a card of that color from it. That player discards that card.	Addle	
	Return target creature card from your graveyard to your hand.	Adun Oakenshield	
	X+1 target creatures in combat get first strike this combat where X equals the number of Plains you control.	Advance Scout	
	Target creature in combat gains shroud this combat.	Advanced Hoverguard	
	Green legendary creatures can band with other legendary creatures this combat.	Adventurers' Guildhouse	
	The next time a source would deal damage to you this combat, it deals that damage to its controller instead.	Aegis of Honor	
	Target 1/1 creature in combat gets +1/+2 this turn.	Aegis of the Meek	
	Sacrifice a permanent. Chaos deals 2 damage to target creature or player.	Aeolipile	
