			Used Cards
			36
Used	Card Text to Display	Card Name	
	You may say "Ach! Hans, run! It's the . . ." and name a creature card. If you do, search your library for the named card, put it onto the battlefield, then shuffle your library. That creature has haste. Exile it at end of turn.	"Ach! Hans, Run!"	
	Target permanent you control's name becomes the name of your choice this turn.	________________	
	Discard 1d6 cards. Look at target opponent's hand and choose 1d6 cards from it. That player discards those cards.	Abandon Hope	
	Sacrifice a land. Add one mana of any color to your mana pool.	Abandoned Outpost	
	Create a 3/4 white Gargoyle creature token with flying and protection from red.	Abbey Gargoyles	
	Target creature gets +0/+3 this turn.	Abbey Matron	
	Untap target creature. You control that creature. When that creature is put into a graveyard, return that card to play under its owner's control.	Abduction	
	Target player can't play instants, sorceries, or activated abilities that aren't mana abilities this turn. This effect may not be responded to. Draw a card.	Abeyance	
	Sacrifice a blue permanent. Target player discards a card at random.	Abjure	
	Discard a land card. Destroy target artifact or enchantment.	Abolish	
	Whenever target creature you control becomes blocked by a green or white creature this turn, destroy the other creature at end of combat.	Abomination	
	Put 1d6 -1/-1 counters on target creature you control.	Aboroth	
	Tap all creatures without flying.	Aboshan, Cephalid Emperor	
	Target creature you control has flying this turn. Threshold - That creature also has shroud this turn.	Aboshan's Desire	
	Switch target creature's power and toughness this turn.	About Face	
	All creatures have protection from black this turn.	Absolute Grace	
	All creatures have protection from red this turn.	Absolute Law	
	Whenever a creature comes onto the battlefield or a creature is put into a graveyard this turn, destroy target enchantment.	Absolver Thrull	
	Put the last permanent played into its owners graveyard. You gain 3 life.	Absorb	
	Whenever a creature dies this turn, destroy all creatures blocking or blocked by it. They can't be regenerated.	Abu Ja'far	
	Choose one - You gain 5 life; or prevent the next 5 damage that would be dealt to target creature this turn. Entwine 2 (Choose both if you pay the entwine cost.)	Abuna's Chant	
	Choose land or nonland. Reveal cards from the top of your library until you reveal a card of the chosen kind. Put that card into your hand and put all other cards revealed this way on the bottom of your library in any order.	Abundance	
	Whenever a creature you control is put into a graveyard from play this turn, each player removes a creature he or she controls from the game.	Abyssal Gatekeeper	
	Whenever a creature comes onto the battlefield this turn, target player of your choice discards two cards.	Abyssal Horror	
	Tap a creature you control. Tap target creature. Chaos deals damage equal to the power of your tapped creature to the other creature.	Abyssal Hunter	
	Whenever target creature you control attacks and isn't blocked this turn, defending player discards a card.	Abyssal Nightstalker	
	Target player discards a card. Target creature you control gets +2/+2 and gains fear this turn.	Abyssal Nocturnus	
	Whenever target creature you control deals damage to a player this turn, that player discards a card.	Abyssal Specter	
	If a creature you control is put into a graveyard from play this turn, you may remove it from the game. If you do, search your library for an enchantment card and put that card onto the battlefield. Then shuffle your library.	Academy Rector	
	You may put an Aura card from your hand onto the battlefield attached to a creature you control.	Academy Researchers	
	Put target artifact card in your graveyard on top of your library.	Academy Ruins	
	Creatures that come onto the battlefield this turn gain haste until end of turn. Draw a card.	Accelerate	
	Target creature you control gets +X/+X this turn, where X is the highest converted mana cost among permanents you control.	Accelerated Mutation	
	Discard a card at random. Chaos deals 5 damage to target creature.	Acceptable Losses	
	Draw a card, then draw 1d3-1 cards.	Accumulated Knowledge	
	Whenever a creature comes onto the battlefield this turn, sacrifice a creature.	Accursed Centaur	
	Destroy all Forests.	Acid Rain	
	Whenever target creature you control deals combat damage to a non-Wall creature this turn, destroy that non-Wall creature. When the targeted creature leaves play this turn, sacrifice a permanent.	Acidic Dagger	
	Sacrifice a creature. That creature deals 2 damage to target creature or player.	Acidic Sliver	
	Chaos deals damage to each player equal to the number of lands he or she controls.	Acidic Soil	
	Create two 1/1 green Squirrel creature tokens.	Acorn Harvest	
	Search target opponent's library for an artifact card and put that card onto the battlefield. Then that player shuffles his or her library.	Acquire	
	Pay the casting cost of a non-token creature you control or sacrifice that creature.	Acridian	
	Choose one - Destroy target blue permanent; or return target Island to its owner's hand.	Active Volcano	
	Target creature you control has power and toughness this turn each equal to the number of cards in the hand of the opponent with the most cards in hand.	Adamaro, First to Desire	
	Target creature you control gets +0/+1 this turn for each land you control.	Adarkar Sentinel	
	Add either U or 1U to your mana pool.	Adarkar Unicorn	
	Target creature you control has flying and vigilance this turn. If a creature other than the targeted creature is put into a graveyard this turn, return that card to play under your control.	Adarkar Valkyrie	
	Target flying creature loses flying this turn.	Adarkar Windform	
	Whenever a creature comes onto the battlefield this turn, clash with an opponent. If you win, put a +1/+1 counter on that creature.	Adder-Staff Boggart	
	Roll 1d6. 1-Colorless, 2-Black, 3-Blue, 4-Green, 5-Red, 6-White. Target player reveals his or her hand, then you choose a card of that color from it. That player discards that card.	Addle	
	Return target creature card from your graveyard to your hand.	Adun Oakenshield	
	X+1 target creatures you control gain first strike this turn where X equals the number of Plains you control.	Advance Scout	
	Target creature you control gains shroud this turn.	Advanced Hoverguard	
	Green legendary creatures can band with other legendary creatures this turn.	Adventurers' Guildhouse	
	The next time an instant or sorcery spell would deal damage to you this turn, that spell deals that damage to its controller instead.	Aegis of Honor	
	Target 1/1 creature you control gets +1/+2 this turn.	Aegis of the Meek	
	Sacrifice a permanent. Chaos deals 2 damage to target creature or player.	Aeolipile	
	Target creature you control has power and toughness each equal to the number of cards in your hand.	Aeon Chronicler	
	Create a 2/4 red Human Berserker creature token with rampage 3.	AErathi Berserker	
	Remove the top card of your library from the game. Until end of turn, you may play that card. (Reveal the card as you remove it from the game.)	Aerial Caravan	
	Name an artist. Remove the top six cards of your library from the game, then reveal cards from the top of your library until you reveal a card by the named artist. Put that card in your hand, then remove all the other cards revealed this way from the game.	Aesthetic Consultation	
	Create a 2/1 Bird artifact creature token that can't block.	Aesthir Glider	
	Each player sacrifices a permanent or pays 1 for each creature they control.	AEther Barrier	
	Return 1d6 target creatures to their owners' hands.	AEther Burst	
	Each Beast in play deals 4 damage to target opponent.	AEther Charge	
	Whenever a creature comes onto the battlefield this turn, Chaos deals 2 damage to it.	AEther Flash	
	Whenever a creature is blocked this turn, return it to its owner's hand at end of combat if it is still in play.	AEther Membrane	
	Return target creature to its owner's hand. Create X 1/1 green Saproling creature tokens, where X is its converted mana cost.	AEther Mutation	
	Reveal a card at random from your hand. If you reveal a noncreature card this way, discard that card. If you reveal a creature card this way, put that card onto the battlefield unless any player pays 5 life. If a player pays 5 life, discard that card.	AEther Rift	
	Choose one - Tap all Spirits; or tap all non-Spirit creatures.	AEther Shockwave	
	Remove all counters from all permanents and remove all tokens from the game.	AEther Snap	
	Sacrifice two non-creature permanents you control. Return target creature to its owner's hand. Draw a card.	AEther Spellbomb	
	Chaos deals 1 damage to each player for each creature he or she controls.	AEther Sting	
	Creature cards can't be played this turn.	AEther Storm	
	Tap all lands you control for mana. Spend all mana in your pool on X. Discard X creature cards. Return X target creatures to their owners' hands.	AEther Tide	
	Roll a six sided die. Tap a non-creature permanent you control. You may put a creature card with converted mana cost equal to the die result from your hand onto the battlefield.	AEther Vial	
	Target creature you don't control gets +1/+1, has reach, and can block creatures with shadow as though they didn't have shadow this turn.	AEther Web	
	Target untapped creature you don't control can block creatures with shadow as though they didn't have shadow this turn. Target creature you control gets +1/+0 this turn for each Mountain you control.	AEtherflame Wall	
	Reveal the top four cards of your library. You may put a creature card from among them onto the battlefield. Then put the rest of the cards revealed this way on the bottom of your library in any order. At end of turn, if the creature is still in play, return it to its owner's hand.	AEthermage's Touch	
	Whenever a creature of yours is blocked this turn, the blocking creatures controller may return the blocker to its owner's hand. If he or she does, they may put a creature card from their hand onto the battlefield blocking that creature.	AEtherplasm	
	Return target nonland permanent to its owner's hand for each creature you control.	AEthersnipe	
	Target creature gets -1/-1 this turn. Draw a card.	Afflict	
	Sacrifice a permanent. Distribute three +1/+1 counters on creatures you control.	Afiya Grove	
	Destroy target creature. It can't be regenerated. Its controller puts a 1/1 white Spirit creature token with flying onto the battlefield.	Afterlife	
	Destroy target artifact, creature, or land. Chaos deals 3 damage to you.	Aftershock	
	Whenever you gain life this turn, put that many +1/+1 counters on a creature you control.	Ageless Entity	
	Target creature you control gets 4 +1/+1 counters, adds Wall to it's creature type, gains defender and flying. This effect is permanent.	Ageless Sentinels	
	Each opponent loses 1 life. You gain life equal to the life lost this way.	Agent of Masks	
	Sacrifice a land. Target creature you control gets +2/+0 this turn.	Agent of Shauku	
	Add B to your mana pool for each Mountain you control.	Agent of Stromgald	
	After your combat phase this turn, untap all creatures you control. There is an additional combat phase followed by an additional main phase.	Aggravated Assault	
	Target non-Wall creature you control has first strike, trample, and must attack this turn. If it doesn't, sacrifice it.	Aggression	
	Target creature you control gets +1/+1 this turn. Draw a card.	Aggressive Urge	
	Target creature you control gets +1/+1 and has flanking this turn.	Agility	
	Destroy target nonblack creature. It can't be regenerated. Kicker 1R; If the kicker cost was paid, Chaos deals damage equal to that creature's power to the creature's controller.	Agonizing Demise	
	Look at target player's hand and choose two cards from it. Put them on top of that player's library in any order.	Agonizing Memories	
	Attacking red creatures get +2/+0 this turn and attacking white creatures get +0/+2 this turn.	Agrus Kos, Wojek Veteran	
	Target creature you control has flying this turn.	Air Bladder	
	Create a 4/4 blue Elemental creature token with flying.	Air Elemental	
	Draw a card for each Bird in play.	Airborne Aid	
	Sacrifice a creature. Chaos deals damage equal to the sacrificed creature's power to target creature or player.	Airdrop Condor	
	Whenever target creature you control becomes blocked this turn, the blocker becomes green. (This effect doesn't end.)	Aisling Leprechaun	
	Choose one - Your opponents each gain 1 life and you gain 2 life.; or Lose 1 life and put a +1/+1 counter on each creature you control and those creatures gain vigilance this turn.; or Lose 6 life and put a white Avatar creature token onto the battlefield with "This creature's power and toughness are each equal to your life total."	Ajani Goldmane	
	Sacrifice a land. Target creature you control gets +2/+0 this turn.	Akki Avalanchers	
	When a creature is put into a graveyard from play this turn, each player sacrifices a land.	Akki Blizzard-Herder	
	Tap a creature you control. Attacking creatures gain first strike until end of turn.	Akki Coalflinger	
	Tap a creature you control. Target creature you cast in your first main phase gains haste until end of turn.	Akki Drillmaster	
	Choose a creature you control. That creature and artifact creatures are the only creatures that can attack this turn.	Akron Legionnaire	
	Put a +1/+1 counter on each creature each opponent controls.	Aku Djinn	
	Prevent all damage that would be dealt this combat by attacking creatures without flying.	Al-abara's Carpet	
	Whenever a creature is put into your graveyard from play this turn, shuffle that creature into your library.	Alabaster Dragon	
	Choose one - Target player gains 1d6 life; or prevent the next 1d6 damage that would be dealt to target creature or player this turn.	Alabaster Potion	
	Whenever a creature attacks this turn, you may tap target creature.	Alaborn Cavalier	
	Create a 2/2 white Human Soldier creature token with vigilance.	Alaborn Grenadier	
	Create a 2/2 white Human Soldier creature token with reach.	Alaborn Musketeer	
	Create a 2/3 white Human Soldier creature token.	Alaborn Trooper	
	Target creature you control gets +2/+2 this turn.	Alaborn Veteran	
	When target untapped creature you don't control blocks this turn, destroy both creatures.	Alaborn Zealot	
	Gain control of target artifact this turn.	Aladdin	
	The first time you would draw a card this turn, instead look at the top X cards of your library, where X=the number of lands you control. Put all but one of them on the bottom of your library in a random order, then draw a card.	Aladdin's Lamp	
	Chaos deals 4 damage to any target.	Aladdin's Ring	
	Untap target tapped creature. It gets +1/+3 and cannot attack this turn.	Alarum	
	Target permanent you control becomes the color of your choice. (This effect is permanent)	Alchor's Tomb	
	Roll 1d6. If the result is even, target creature you control gets +1/+1 this turn. Draw a card.	Aleatory	
	Create a 2/2 white Human Soldier creature token with vigilance.	Alert Shu Infantry	
	Tap target Wall.	Ali Baba	
	Damage that would reduce your life total to less than 1 this turn reduces it to 1 instead.	Ali from Cairo	
	Target untapped creature you don't control gets +3/+1 this turn.	Aliban's Tower	
	Each player returns all creature cards from his or her graveyard to play.	All Hallow's Eve	
	All creatures able to block target creature you control this turn do so.	Alluring Scent	
	Remove the top 1d6 cards in your graveyard from the game. Prevent the next 1d6 damage that would be dealt to target creature you control this turn.	Alms	
	Sacrifice a creature. Search your library for a creature card, reveal that card, and put it into your hand. Then shuffle your library.	Altar of Bone	
	Sacrifice a creature. Target player puts a number of cards equal to the sacrificed creature's power from the top of his or her library into his or her graveyard.	Altar of Dementia 	
	Any player may play creature cards with converted mana cost 3 or less without paying their mana cost and as though they had flash this turn.	Aluren	
	Target player puts the top three cards of his or her library into his or her graveyard.	Ambassador Laquatus	
	Tap target artifact, creature, or land.	Amber Prison	
	You draw three cards and you lose 3 life.	Ambition's Cost	
	Creatures you don't control get first strike this turn.	Ambush	
	Create a 3/1 red Human Rogue creature token with first strike and haste.	Ambush Party	
	Target player reveals his or her hand and discards all nonland cards.	Amnesia	
	Create a 1/1 white Kithkin creature token that can't be blocked by creatures with power 3 or greater.	Amrou Kithkin	
	Prevent the next 1 damage that would be dealt to target creature or player this turn.	Amulet of Kroog	
	Sacrifice a permanent. Target opponent may remove the top card of his or her library from the game. If he or she doesn't, roll 1d6. If the roll is even, that player loses the game. If the roll is odd, you lose the game.	Amulet of Quoz	
	Remove a permanent you control from the game. Remove target artifact, creature, or land from the game.	Amulet of Unmaking	
	Target Minotaur creature you control gets +1/+1 this turn.	Anaba Ancestor	
	Create a 2/3 red Minotaur creature token with first strike.	Anaba Bodyguard	
	Tap a creature you control. Chaos deals 1 damage to target creature or player.	Anaba Shaman	
	Minotaur creatures get +1/+0 this turn.	Anaba Spirit Crafter	
	Create a 3/3 green Snake creature token with swampwalk.	Anaconda	
	Put a creature from your hand onto the battlefield. You may return target sorcery card from your graveyard to your hand.	Anarchist	
	Destroy all white permanents.	Anarchy	
	Unearth target creature. Chaos deals damage to target player equal to the number of nonbasic lands that player controls.	Anathemancer	
	If you control a creature, gain 1 life for each card in your graveyard.	Ancestor's Chosen	
	Look at the top ten cards of your library, then remove any number of them from the game and put the rest back on top of your library in any order.	Ancestral Knowledge	
	Look at the top seven cards of your library. Put two of them into your hand and the rest into your graveyard.	Ancestral Memories	
	Target player draws 3 cards.	Ancestral Recall	
	Draw three cards and lose 3 life.	Ancient Craving	
	Chaos deals damage to you equal to the number of artifacts you control.	Ancient Runes 	
	Regenerate target creature you control.	Ancient Silverback	
	When a creature you control is put into your graveyard from play this turn, you may shuffle it into your library.	Angel of Fury	
	Target creature you control has flying and vigilance until end of turn.	Angel of Light	
	Whenever a creature comes onto the battlefield this turn, it's controller gains 3 life.	Angel of Mercy	
	Target creature you control gets +3/+3 and gains flying this turn.	Angelic Blessing	
	Gain life equal to the total toughness of all the creatures you control.	Angelic Chorus	
	Target creature gets +1/+1 this turn.	Angelic Page	
	Whenever target creature you control becomes the target of a spell or ability this turn, it gets +0/+3 this turn.	Angelic Protector 	
	Whenever a creature is put into your graveyard from play this turn, you may sacrifice a permanent. If you do, return that card to play.	Angelic Renewal	
	Creatures you control get +1/+1 this turn as long as you control no nonartifact, nonwhite creatures.	Angelic Voices	
	Create a 0/4 white Wall creature token with defender and flying.	Angelic Wall	
	Whenever a player plays a white spell this turn, gain 1 life.	Angel's Feather	
	Target creature you control has power and toughness this turn each equal to 2 plus the number of Swamps your opponents control.	Angry Mob	
	Prevent all combat damage that would be dealt this combat.	Angus Mackenzie	
	Target creature you control has toughness this turn equal to 1 plus the number of green creatures in play.	An-Havva Constable	
	Gain X+1 life, where X is the number of green creatures in play.	An-Havva Inn	
	Add G, R, or W to your mana pool. This mana doesn't empty until end of turn.	An-Havva Township	
	Target artifact is a creature with power and toughness each equal to its converted mana cost. It's still an artifact.	Animate Artifact	
	Put a creature from any graveyard onto the battlefield under your control with a -1/-0 counter on it. Sacrifice this creature at end of turn. 	Animate Dead	
	Walls can attack as though they didn't have defender this turn.	Animate Wall	
	Whenever a land enters the battlefield this turn, Chaos deals 2 damage to that land's controller.	Ankh of Mishra	
	You control target land.	Annex	
	Prevent the next 3 damage that would be dealt to target creature in combat this turn. If you pay 3, you may play this effect again.	Anoint	
	Target creature you control can't be the target of spells this turn. This effect can't be responded to.	Anti-Magic Aura	
	Draw a card, then discard a card.	Anvil of Bogardan	
1	Choose a creature type. Tap all creatures of the chosen type. They don't untap during your turn.	An-Zerrin Ruins	
	Tap target untapped creature. It's controller must discard a card at random to untap that creature.	Apathy	
	Whenever a creature you control attacks this turn, it doesn't untap during its next untap step.	Apes of Rath	
	Remove all permanents from the game. You discard your hand.	Apocalypse	
