				Used Cards	In Play
				42	1
Used	In Play	Card Text to Display	Card Name		
		At the beginning of your upkeep, you may say "Ach! Hans, run! It's the . . ." and name a creature card. If you do, search your library for the named card, put it onto the battlefield, then shuffle your library. That creature has haste. Exile it at end of turn.	"Ach! Hans, Run!"		
		1: Target permanent you control's name becomes the name of your choice. Play this effect anywhere, anytime as long as this effect is in play.	________________	Sets Completed:	
		X1B: Discard X cards. Look at target opponent's hand and choose X cards from it. That player discards those cards. Play this effect as a sorcery.	Abandon Hope	Alara Reborn	
		Tap and sacrifice a land you control: Add one mana of any color to your mana pool.	Abandoned Outpost	Alliances	
		At the beginning of your upkeep, create a 3/4 white Gargoyle creature token with flying and protection from red.	Abbey Gargoyles	Antiquities	
		Creatures get +0/+3.	Abbey Matron	Arabian Nights	
		2UU: Untap target creature. You control that creature. When that creature is put into a graveyard or this effect leaves play, return that card to the battlefield under its owner's control. Play this effect as a sorcery.	Abduction	Battle Royale Box Set	
		Instants, sorceries, or activated abilities that aren't mana abilities may not be played.	Abeyance	Beatdown Box Set	
		U, Sacrifice a blue permanent: Counter target spell.	Abjure	Chronicles	
		1WW or discard a Plains card: Destroy target artifact or enchantment.	Abolish	Deckmasters Box Set	
		Whenever a creature blocks or becomes blocked by a green or white creature, destroy the green and white creature(s) at end of combat.	Abomination	Eighth Edition	
		Creatures have Cumulative upkeep - Put a -1/-1 counter on this creature.	Aboroth	Fallen Empires	
		Tap an untapped creature you control: Tap target permanent. UUU: Tap all creatures without flying.	Aboshan, Cephalid Emperor	Fifth Edition	
		Creatures you control have flying during your turn. Threshold - Creatures you control also have shroud during your turn.	Aboshan's Desire	Fourth Edition	
		Switch all creatures power and toughness.	About Face	Homelands	
		Creatures have protection from black.	Absolute Grace	Ice Age	
		Creatures have protection from red.	Absolute Law	Legends	
		Whenever a creature enters the battlefield under your control or a creature is put into your graveyard from the battlefield, destroy target enchantment.	Absolver Thrull	Limited Edition Alpha	
		WUU: Counter target spell. You gain 3 life.	Absorb	Limited Edition Beta	
		Whenever a creature dies, destroy all creatures blocking or blocked by it. They can't be regenerated.	Abu Ja'far	Mirage	
		3W: Choose one - You gain 5 life; or prevent the next 5 damage that would be dealt to target creature this turn. Entwine 2 (Choose both if you pay the entwine cost.)	Abuna's Chant	Ninth Edition	
		If you would draw a card, you may instead choose land or nonland and reveal cards from the top of your library until you reveal a card of the chosen kind. Put that card into your hand and put all other cards revealed this way on the bottom of your library in any order.	Abundance	Portal	
		Whenever a creature is put into a graveyard from the battlefield, each player exiles a creature.	Abyssal Gatekeeper	Portal Second Age	
		Whenever a creature enters the battlefield under your control, target player discards two cards.	Abyssal Horror	Portal Three Kingdoms	
		B, Tap an untapped creature you control: Tap target creature. Chaos deals damage equal to the power of your tapped creature to the other creature. Play this effect only once per turn.	Abyssal Hunter	Revised	
		Whenever a creature attacks and isn't blocked, the defending player discards a card.	Abyssal Nightstalker	Seventh Edition	
		Whenever a player discards a card, creatures controlled by the active player get +2/+2 and gain fear until end of turn.	Abyssal Nocturnus	Sixth Edition	
		Whenever a creature deals damage to a player, that player discards a card.	Abyssal Specter	Starter 1999	
		Whenever a creature you control is put into a graveyard from the battlefield, you may exile it. If you do, search your library for an enchantment card and put that card onto the battlefield. Then shuffle your library.	Academy Rector	Starter 2000	
		Whenever a creature enters the battlefield under your control, you may put an Aura card from your hand onto the battlefield attached to that creature.	Academy Researchers	Tempest	
		1U, Tap a land you control: Put target artifact card in your graveyard on top of your library. Play this effect only once per turn.	Academy Ruins	Tenth Edition	
		Creatures have haste.	Accelerate	The Dark	
		3GG: Target creature gets +X/+X until end of turn, where X is the highest converted mana cost among permanents you control.	Accelerated Mutation	Unglued	
		3R, Discard a card at random: Chaos deals 5 damage to target creature. Play this effect as a sorcery.	Acceptable Losses	Unlimited	
		1U: Draw a card, then draw 1d3-1 cards.	Accumulated Knowledge	Visions	
		Whenever a creature enters the battlefield under your control, sacrifice a creature.	Accursed Centaur	Weatherlight	
		3U: Destroy all Forests. Play this effect as a sorcery.	Acid Rain		
		Whenever a creature you control deals combat damage to a non-Wall creature, destroy that non-Wall creature. Whenever a creature you control leaves the battlefield, sacrifice a permanent.	Acidic Dagger		
		2, Sacrifice a creature: It deals 2 damage to target creature or player.	Acidic Sliver		
		2R: Chaos deals damage to each player equal to the number of lands he or she controls. Play this effect as a sorcery.	Acidic Soil		
		At the beginning of your upkeep, create two 1/1 green Squirrel creature tokens.	Acorn Harvest		
		3UU: Search target opponent's library for an artifact card and put that card onto the battlefield. Then that player shuffles his or her library. Play this effect as a sorcery.	Acquire		
		Creatures have echo equal to their casting cost.	Acridian		
		R: Choose one - Destroy target blue permanent; or return target Island to its owner's hand.	Active Volcano		
		During your turn, your creatures have power and toughness each equal to the number of cards in the hand of the opponent with the most cards in hand.	Adamaro, First to Desire		
		1: Target creature gets +0/+1 this turn.	Adarkar Sentinel		
		Tap an untapped creature you control: Add either U or 1U to your mana pool. Play this effect only once per turn.	Adarkar Unicorn		
		Creatures you control have flying and vigilance during your turn. Tap an untapped creature you control: When target creature other than the creature you tapped is put into a graveyard, return that card to the battlefield. Play this effect only during your turn.	Adarkar Valkyrie		
		1(S): Target creature loses flying until end of turn. (S) can be paid with one mana from a snow permanent.	Adarkar Windform		
		Whenever a creature enters the battlefield under your control, clash with an opponent. If you win, put a +1/+1 counter on that creature.	Adder-Staff Boggart		
		1B: Choose a color. Target player reveals his or her hand, then you choose a card of that color from it. That player discards that card. Play this effect as a sorcery.	Addle		
		BRG, Tap an untapped creature you control: Return target creature card from your graveyard to your hand.	Adun Oakenshield		
		White creatures have first strike.	Advance Scout		
		Creatures have shroud.	Advanced Hoverguard		
		Green legendary creatures can band with other legendary creatures.	Adventurers' Guildhouse		
		1: The next time an instant or sorcery spell would deal damage to you this turn, that spell deals that damage to its controller instead.	Aegis of Honor		
		1, Tap an untapped permanent you control: Target 1/1 creature gets +1/+2 this turn.	Aegis of the Meek		
		1, Tap and sacrifice a permanent: Chaos deals 2 damage to target creature or player. Play this effect as a sorcery and only once per turn.	Aeolipile		
		Creatures have power and toughness each equal to the number of cards in their controllers hands. Whenever a time counter is removed from a suspended card while it's removed from the game, its controller draws a card.	Aeon Chronicler		
		At the beginning of your upkeep, create a 2/4 red Human Berserker creature token with rampage 3.	AErathi Berserker		
		1UU: Exile the top card of your library. Until end of turn, you may play that card. (Reveal the card as you exile it.)	Aerial Caravan		
